id	name	affirmation
1	feeling_overwhelmed	I will face the day with an open heart and an open mind.
1	feeling_overwhelmed	The thought of facing the day fills me with confidence and positivity.
1	feeling_overwhelmed	I control my day; I will not let my day control me.
1	feeling_overwhelmed	I am calm and confident.
1	feeling_overwhelmed	Balance is key. I will mix self-care with effort.
1	feeling_overwhelmed	I give myself permission to take personal time.
1	feeling_overwhelmed	Calm is my primary state of being.
1	feeling_overwhelmed	I move beyond stress to peace.
1	feeling_overwhelmed	Change provides me an opportunity.
1	feeling_overwhelmed	I am calm, patient, and in control of my emotions.
1	feeling_overwhelmed	I will be proactive in discovering obstacles to my accomplishments.
1	feeling_overwhelmed	Where others see a challenge, I see new opportunities.
1	feeling_overwhelmed	I will say “No” when I do not have the time or inclination to act.
1	feeling_overwhelmed	I choose carefully what goes onto my calendar.
2	break_up	I am unique and a gift to the world.
2	break_up	I will take time to put myself first.
2	break_up	Change provides me an opportunity.
2	break_up	I am calm, patient, and in control of my emotions.
2	break_up	I have a growth mindset.
2	break_up	Other people will not take advantage of me.
2	break_up	The only person who can defeat me is myself.
2	break_up	I am being of love
2	break_up	I am loved and lovable
2	break_up	I forgive myself
2	break_up	My heart is opening up to new possibilities
2	break_up	I know I have worth and value
3	imposter_syndrome	I will not compare myself to others.
3	imposter_syndrome	Today I will accomplish great things.
3	imposter_syndrome	The thought of facing the day fills me with confidence and positivity.
3	imposter_syndrome	I will not let others impose their limitations on me.
3	imposter_syndrome	Limiting beliefs have no power over me. I am optimistic and open-minded.
3	imposter_syndrome	I am unique and a gift to the world.
3	imposter_syndrome	My negative thoughts and self-images are gone.
3	imposter_syndrome	Where others see a challenge, I see new opportunities.
3	imposter_syndrome	I am a diamond. It is time for me to shine.
3	imposter_syndrome	My opinion matters.
3	imposter_syndrome	I am deserving of good things
4	feeling_empty	Today I feel healthy and strong, physically, emotionally, and mentally.
4	feeling_empty	Today I will accomplish great things.
4	feeling_empty	I choose happiness for my day.
4	feeling_empty	My day is a blessing and a gift that I will not waste.
4	feeling_empty	The thought of facing the day fills me with confidence and positivity.
4	feeling_empty	I am energized by the thought of a new day.
4	feeling_empty	When opportunity knocks, I will be prepared to answer the door.
4	feeling_empty	I feel free to give myself the tender loving care I need.
4	feeling_empty	I have abundant energy.
4	feeling_empty	I am happy, healthy, and centered.
4	feeling_empty	I am a diamond. It is time for me to shine.
5	feeling_small	I will not compare myself to others.
5	feeling_small	I will not let others impose their limitations on me.
5	feeling_small	Limiting beliefs have no power over me. I am optimistic and open-minded.
5	feeling_small	I am calm and confident.
5	feeling_small	I am unique and a gift to the world.
5	feeling_small	I am a diamond. It is time for me to shine.
6	difficulty_socializing	I am a positive influence, and I surround myself with others like me.
6	difficulty_socializing	I am unique and a gift to the world.
6	difficulty_socializing	Change provides me an opportunity.
6	difficulty_socializing	The little things in life make all the difference.
6	difficulty_socializing	I have faith in my social skills.
6	difficulty_socializing	I choose hope over fear.
6	difficulty_socializing	I am a diamond. It is time for me to shine.
7	feeling_sad	I choose happiness for my day.
7	feeling_sad	Today I am filled with positive energy.
7	feeling_sad	I am energized by the thought of a new day.
7	feeling_sad	I feel free to give myself the tender loving care I need.
7	feeling_sad	Positive energy surrounds me.
7	feeling_sad	I am a positive influence, and I surround myself with others like me.
7	feeling_sad	I am unique and a gift to the world.
7	feeling_sad	I have abundant energy.
7	feeling_sad	My thoughts are positive and full of joy.
7	feeling_sad	I am happy, healthy, and centered.
7	feeling_sad	My negative thoughts and self-images are gone.
7	feeling_sad	My life is made for joy. I will live with exuberance.
7	feeling_sad	Happiness is within my grasp.
8	haunting_past	I let go of the past, live in the now and let the future unfold on its own.
8	haunting_past	I no longer focus on the negative events in my past, but rejoice in the pleasures of the present moment.
8	haunting_past	Past events no longer influence my life; I live fully in each moment.
8	haunting_past	I live in the present, the past is gone and no longer plays a part in my life.
8	haunting_past	I let go of past hurts and open my heart to the joy of now.
8	haunting_past	I let go of hurtful words and hear and speak of only loving kindness.
8	haunting_past	I release the pain of rejection and live in the joy of the present moment.
8	haunting_past	I no longer dwell on past hurtful events; I see only the light and love in my life now.
9	lacking_selflove	Today I feel healthy and strong, physically, emotionally, and mentally.
9	lacking_selflove	Positive energy surrounds me.
9	lacking_selflove	I am a positive influence, and I surround myself with others like me.
9	lacking_selflove	Balance is key. I will mix self-care with effort.
9	lacking_selflove	I give myself permission to take personal time.
9	lacking_selflove	I am unique and a gift to the world.
9	lacking_selflove	I will take time to put myself first.
9	lacking_selflove	I move beyond stress to peace.
9	lacking_selflove	My negative thoughts and self-images are gone.
9	lacking_selflove	The little things in life make all the difference.
9	lacking_selflove	Even outside my comfort zone, I will be comfortable in my own skin.
9	lacking_selflove	My commitment to myself is real.
9	lacking_selflove	I am a diamond. It is time for me to shine.
9	lacking_selflove	Self-love is my natural state of being.
9	lacking_selflove	I will stop apologizing for being myself.
9	lacking_selflove	I am grateful for the things I have.
10	lacking_motivation	My day is full of possibilities and potential.
10	lacking_motivation	I will face the day with an open heart and an open mind.
10	lacking_motivation	Today I will accomplish great things.
10	lacking_motivation	My day is a blessing and a gift that I will not waste.
10	lacking_motivation	I am prepared for the challenges of the day.
10	lacking_motivation	The thought of facing the day fills me with confidence and positivity.
